id,n_instances,n_features,dim,num_on_cat,n_num_att,min_means_num_att,q1_means_num_att,mean_means_num_att,q3_means_num_att,max_means_num_att,min_std_num_att,q1_std_num_att,mean_std_num_att,q3_std_num_att,max_std_num_att,min_means_squared_num_att,q1_means_squared_num_att,mean_means_squared_num_att,q3_means_squared_num_att,max_means_squared_num_att,min_std_squared_num_att,q1_std_squared_num_att,mean_std_squared_num_att,q3_std_squared_num_att,max_std_squared_num_att,min_means_internal_product_num_att,q1_means_internal_product_num_att,mean_means_internal_product_num_att,q3_means_internal_product_num_att,max_means_internal_product_num_att,min_std_internal_product_num_att,q1_std_internal_product_num_att,mean_std_internal_product_num_att,q3_std_internal_product_num_att,max_std_internal_product_num_att,min_covariance,q1_covariance,mean_covariance,q3_covariance,max_covariance,n_cat_att,min_card_cat_att,q1_card_cat_att,mean_card_cat_att,q3_card_cat_att,max_card_cat_att,min_entropy_cat_att,q1_entropy_cat_att,mean_entropy_cat_att,q3_entropy_cat_att,max_entropy_cat_att,min_mutual_info_cat_att,q1_mutual_info_cat_att,mean_mutual_info_cat_att,q3_mutual_info_cat_att,max_mutual_info_cat_att,min_std_freq_cat_att,q1_std_freq_cat_att,mean_std_freq_cat_att,q3_std_freq_cat_att,max_std_freq_cat_att
5,420.0,258.0,0.6142857142857143,3.2295081967213113,197.0,0.002380952380952381,0.156657848324515,0.40625489299641127,0.5922999874796544,0.9976190476190476,0.04873687973918743,0.08058293110621675,0.1169890764152647,0.1433531027431598,0.301851194846376,0.002380952380952381,0.05326142347545439,0.27369962093711186,0.35957220147467206,0.9976190476190476,0.04873687973918743,0.06987141980897803,0.11023116427237363,0.13272197794184423,0.2954717241535595,0.0,0.024528012520440113,0.2577817049425704,0.35079081715137067,0.9952380952380953,0.0,0.02755610574184105,0.07050456025768341,0.09408955651438283,0.2907168937083868,-0.04803014724684625,-0.0007137837016868473,0.0003693851479157927,0.001088289669882921,0.09133160002071035,61.0,2.0,2.0,2.0,2.0,2.0,0.016759674497948008,0.016759674497948008,0.058178575285646565,0.06458143637762753,0.6860441792217773,4.882918684820381e-06,2.2784320245378478e-05,0.002675477164381704,0.00013786460932072378,0.6860441792217773,0.059523809523809534,0.4880952380952381,0.48419203747072603,0.4976190476190476,0.4976190476190476
9,205.0,25.0,0.12195121951219512,1.5,15.0,0.19640853658536586,0.26990316665984004,0.3763781989214116,0.4795485984710596,0.564808362369338,0.14898464696220345,0.1706227421535801,0.18466532890689644,0.19467720236515856,0.24764628595119167,0.07783348049487264,0.10611858789334502,0.19078037947490348,0.262888159312647,0.3551553011448482,0.12265598141191407,0.15446253749265698,0.17534226825074523,0.20020769528522758,0.2588563117997125,0.03827568244485294,0.07316914385065426,0.15598739960306512,0.22995582296356376,0.31889968019728226,0.059761268951461964,0.08190553598485564,0.10387824763587163,0.12290437559785422,0.15793650322272515,-0.02918845045235778,-0.004052857445339171,0.007482545395729839,0.02179512458120004,0.06162931374417148,10.0,2.0,2.0,6.0,7.0,22.0,0.07634699503573654,0.5252114023124933,0.9652612972496154,1.1656615858400519,2.8543243059580035,0.0014076404914702412,0.030595564621170374,0.2912534043955926,0.34060969135947733,2.8543243059580035,0.03306446927624161,0.16337018182568908,0.23617648817245424,0.30484821124273825,0.4853658536585366
10,148.0,18.0,0.12162162162162163,0.2,3.0,0.030405405405405407,0.1295849420849421,0.2500536250536251,0.3598777348777349,0.490990990990991,0.15624771729523215,0.21373646658226697,0.2351349588080119,0.2745785795644018,0.27793194325950177,0.02533783783783784,0.07561707115278543,0.15651748687462974,0.2221073113930257,0.31831831831831836,0.14455156912280684,0.18393239688054988,0.22654748680359896,0.267545445643995,0.3117776666496971,0.000758411472697187,0.026295584422406582,0.09771261265430363,0.14618971324510685,0.24054666911809772,0.022344729110979292,0.06779391793757597,0.11415856891871468,0.16006548882258237,0.2068878708809921,-0.013896549610835309,0.014376575919943256,0.034525453712771506,0.06396241618544833,0.0777716492002206,15.0,2.0,2.0,2.933333333333333,3.5,8.0,0.19047906034040613,0.5340146079538193,0.7745269467778831,1.064410576569286,1.7516700801964624,1.6057985067735592e-05,0.011932477755125057,0.13039893311534764,0.07298547321999307,1.7516700801964622,0.006756756756756771,0.1357579127265493,0.20607888771870359,0.2736486486486487,0.4527027027027027
23,1473.0,9.0,0.006109979633401222,0.2857142857142857,2.0,0.2038357094365241,0.2781673661256146,0.3524990228147051,0.4268306795037956,0.5011623361928861,0.14735925832021574,0.17282589524102884,0.19829253216184195,0.22375916908265506,0.24922580600346816,0.06326374745417515,0.12576710798972882,0.18827046852528245,0.2507738290608361,0.3132771895963898,0.09018454685853501,0.13584030857782814,0.18149607029712125,0.22715183201641437,0.2728075937357075,0.04153424457259659,0.0939310560658225,0.1463278675590484,0.1987246790522743,0.2511214905455002,0.04766217538394438,0.08253741237164859,0.1174126493593528,0.15228788634705703,0.18716312333476123,0.019849993462138435,0.020789748171858483,0.034578398464868855,0.04194260096623406,0.062155699050889586,7.0,2.0,2.0,3.142857142857143,4.0,4.0,0.26386148995534964,0.4922412828029763,0.84620260164382,1.188734494408684,1.293936013153499,1.67554570978945e-06,0.006629051172953016,0.24309379405988518,0.24901490879197635,1.2939360131534996,0.10365909087164629,0.14229348171879116,0.23360403442464456,0.3000678886625934,0.4260013577732519
29,653.0,15.0,0.022970903522205207,0.6666666666666666,6.0,0.010137611026033692,0.047697591473598394,0.11178372618902338,0.15190747374753882,0.2818065582537251,0.05249254544134325,0.07659588678914747,0.11600611617433743,0.16409929548372426,0.1877650652595058,0.002858238484226646,0.008964864584694355,0.036953881054860395,0.05149415345735961,0.11467065600671664,0.04175093577349535,0.043432996893315666,0.07755734761432513,0.10564075488157203,0.15074865173308444,9.854498043339377e-05,0.0025847472412925347,0.02080804095505829,0.024306243560226225,0.07936086308503731,0.0023422825477968094,0.008080770122196015,0.02955654147444391,0.045368213747711036,0.08256123924498335,-0.0032795604249935906,0.0002870403215635697,0.0059722043363215046,0.0070809541521434875,0.03530979292167931,9.0,2.0,2.0,4.444444444444445,3.0,14.0,0.3021299062414232,0.5625777796443304,0.8663811690326437,0.6907708167555453,2.4316108943425516,0.00014971320340091514,0.007972873278140714,0.21184227248661253,0.09667814952840695,2.4316108943425516,0.034456355283307816,0.0467715028717174,0.17750892836507562,0.31875147720543645,0.41307967544597507
31,1000.0,20.0,0.02,0.5384615384615384,7.0,0.13566666666666666,0.16062033674480025,0.3248016888498549,0.45523214285714286,0.6576666666666666,0.15523963654142287,0.18485100315825248,0.2614740657618326,0.36481332490451945,0.3727183923554082,0.05173530627578905,0.07432483900422913,0.2241135598702148,0.33422222222222225,0.5714444444444443,0.10557270485948383,0.12063881396846533,0.24773614422958623,0.3946164300066136,0.4281535290575618,0.018368368368368373,0.025752865973974068,0.1470521949304945,0.23267376308422938,0.43238638638638655,0.04362306227171893,0.0609409503611639,0.1618457527847692,0.2499181061683033,0.37337282575296576,-0.01571422187015892,0.0010151663074588677,0.021656632220552707,0.02096379105085771,0.13905805805805793,13.0,2.0,3.0,4.153846153846154,5.0,10.0,0.15828988065270586,0.674600230714884,0.9938990464813001,1.2490810706928586,1.8484001707032218,0.000465782860066391,0.005157273787185161,0.15919422612095976,0.042078176193948366,1.8484001707032218,0.06574191965557441,0.09599999999999997,0.21316302807303256,0.27002510171381394,0.463
35,358.0,34.0,0.09497206703910614,0.030303030303030304,1.0,0.4839478584729982,0.4839478584729982,0.4839478584729982,0.4839478584729982,0.4839478584729982,0.20404185805534833,0.20404185805534833,0.20404185805534833,0.20404185805534833,0.20404185805534833,0.27583860955928,0.27583860955928,0.27583860955928,0.27583860955928,0.27583860955928,0.20598945712606448,0.20598945712606448,0.20598945712606448,0.20598945712606448,0.20598945712606448,0.23408891044934427,0.23408891044934427,0.23408891044934427,0.23408891044934427,0.23408891044934427,0.1455007365882102,0.1455007365882102,0.1455007365882102,0.1455007365882102,0.1455007365882102,0.04163307983867892,0.04163307983867892,0.04163307983867892,0.04163307983867892,0.04163307983867892,33.0,2.0,4.0,3.909090909090909,4.0,4.0,0.27773230465571425,0.6523273782939546,0.8299133726413739,1.05038736374284,1.3657650342885357,0.003011779365397059,0.018155556967165382,0.11541713560644938,0.08868970095482717,1.365765034288536,0.0510684505552576,0.20489831197082642,0.2652163821946916,0.3242540348706009,0.39927771387826066
38,3772.0,27.0,0.0071580063626723225,0.2857142857142857,6.0,0.00890782778848721,0.1302789834057799,0.19807107815117722,0.26823944764352575,0.3591597891404245,0.043988164743464876,0.05066377253086707,0.06801852001500389,0.08043731908024966,0.0894627070315392,0.0020143080334075517,0.020693160752122818,0.05713029491308221,0.0784977812109382,0.13699933008480522,0.018466308111563315,0.033981819062310695,0.045868011867139735,0.05531605230037025,0.07703574817694045,7.883628038627465e-05,0.01800138494296775,0.05218484499941933,0.07209203123302416,0.12899363173392264,0.0019430747166106189,0.010195642046120347,0.02250222454282108,0.03101183969860733,0.04612901140884223,-0.0012358140456038443,-0.00045803162254187576,0.0019167879027933645,0.003087450820644119,0.008005698350882613,21.0,2.0,2.0,2.142857142857143,2.0,5.0,0.0024483637530128485,0.07387978194910688,0.24511719858861755,0.3296029329382395,1.0540619253604604,1.1322155643589404e-08,7.823685421612684e-05,0.029529351373091962,0.003269127660740466,1.0540619253604597,0.19724284199363729,0.397932131495228,0.42377251297367446,0.485949098621421,0.49973488865323434
43,306.0,3.0,0.00980392156862745,2.0,2.0,0.07742584213172449,0.16400106244723336,0.25057628276274224,0.33715150307825115,0.42372672339376,0.13803646332329123,0.15440369279261856,0.1707709222619459,0.18713815173127324,0.20350538120060058,0.025048826236609045,0.07402631375136022,0.12300380126611139,0.17198128878086258,0.22095877629561375,0.08822823794939336,0.11242304647792677,0.13661785500646018,0.16081266353499357,0.185007472063527,0.0059322886848663875,0.04930135428071214,0.0926704198765579,0.13603948547240366,0.1794085510682494,0.0238060834145374,0.04999014490960063,0.07617420640466387,0.10235826789972709,0.12854232939479032,-0.001780508851886737,0.008668014349927939,0.019628751309073406,0.030333381389553472,0.04155022522736433,1.0,12.0,12.0,12.0,12.0,12.0,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,2.4444709090289356,0.0222246250142736,0.0222246250142736,0.0222246250142736,0.0222246250142736,0.0222246250142736
48,151.0,5.0,0.033112582781456956,1.5,3.0,0.2842384105960265,0.3394807106065384,0.4019091418760293,0.46074450751603063,0.526766004415011,0.20398401509341021,0.24200434981970764,0.25582428166333526,0.28174441494829777,0.28346414535059045,0.159205298013245,0.1783105157687308,0.23815179221471924,0.27762503931545635,0.35783434510669604,0.18803163093895486,0.2122540394449618,0.24383136754498316,0.27173123584799735,0.306986023745026,0.08026871523178808,0.11789878690980929,0.17091477258299279,0.21623780125859515,0.2769467439293598,0.12061525619802017,0.12837093111102402,0.1606492190775558,0.18066620051732363,0.22520579501061938,-0.01885864606328182,-0.0020427055958512886,0.02980753185587864,0.06967415582018924,0.08088760117733623,2.0,2.0,2.0,2.0,2.0,2.0,0.4267087060329281,0.4423280673260016,0.45794742861907506,0.4735667899121485,0.489186151205222,0.019851058907564695,0.22327988247024644,0.31191530538190493,0.45794742861907506,0.4891861512052219,0.3079470198675497,0.31788079470198677,0.32781456953642385,0.33774834437086093,0.347682119205298
